TIme,ws,rad,VWC_2_Avg,T_2_Avg,LE,H,TKE,Precp
1/07/16 00:00:00,2.788145,-60.13,0.284,8.41,-29.1726514,-42.83413352,0.7393654764,0
1/07/16 00:30:00,2.533139,-75.34,0.284,8.41,-25.56603825,-47.21780677,0.5004947837,0
1/07/16 01:00:00,3.380409,-77.57,0.284,7.598,-31.64601366,-39.18884752,0.4904624997,0
1/07/16 01:30:00,2.472618,-76.96,0.284,7.598,-33.98731888,-36.74042668,0.6280723511,0
1/07/16 02:00:00,0.8466663,-77.85,0.284,6.635,-23.05339153,-25.37874375,0.3721530997,0
1/07/16 02:30:00,0.7087706,-56.03,0.284,6.635,-18.72905253,-18.35308276,0.366491598,0
1/07/16 03:00:00,1.070832,-44.68,0.283,6.529,-17.38516793,-20.85780344,0.2192775294,0
1/07/16 03:30:00,1.447368,-45.69,0.283,6.529,-19.52982079,-27.33260793,0.263396162,0
1/07/16 04:00:00,1.659059,-54.48,0.283,6.823,-21.14660325,-36.26631642,0.4159481516,0
1/07/16 04:30:00,2.028966,-65.4,0.283,6.823,-26.07643887,-26.05157122,0.4546581166,0
1/07/16 05:00:00,1.865564,-60.82,0.283,6.252,-34.46312157,-36.14990143,0.4676425519,0
1/07/16 05:30:00,1.964253,-79.72,0.283,6.252,-21.65899955,-47.28164617,0.4248073046,0
1/07/16 06:00:00,1.716796,-78.69,0.283,5.863,-13.57690167,-50.43033319,0.3999973012,0
1/07/16 06:30:00,1.557795,-74.2,0.283,5.863,-15.26569638,-31.78469093,0.3433045712,0
1/07/16 07:00:00,1.483176,-57.3,0.283,5.572,-1.170801788,-2.242298725,0.3201617547,0
1/07/16 07:30:00,1.736991,-12.81,0.283,5.572,27.67693951,13.73662656,0.3394138405,0
1/07/16 08:00:00,2.018297,34.95,0.282,7.103,45.25089826,49.75130352,0.4108805777,0
1/07/16 08:30:00,2.529773,93.1,0.282,7.103,76.48113699,81.80529873,0.4512796674,0
1/07/16 09:00:00,3.298474,158.4,0.282,8.05,113.4981192,113.0839651,0.4892604121,0
1/07/16 09:30:00,3.838414,228,0.282,8.05,145.4848598,151.0987162,0.5793237133,0
1/07/16 10:00:00,2.857476,298.2,0.282,9.25,193.0657858,184.2879329,0.5020335144,0
1/07/16 10:30:00,2.772175,380.7,0.282,9.25,245.7943448,189.6444131,0.5657464247,0
1/07/16 11:00:00,3.303888,448.2,0.282,14.49,390.2141746,96.81404055,0.7613509424,0
1/07/16 11:30:00,2.039311,525,0.282,14.49,238.0785385,213.6869498,0.8713282898,0
