Time,ws,rad,VWC_2_Avg,T_2_Avg,LE,H,TKE,Precp
12/07/16 00:00:00,2.682139,-48.08,0.287,8.68,-17.0551948,-20.25001116,0.6339628438,0
12/07/16 00:30:00,3.048765,-37.67,0.287,8.68,-9.592803678,-7.496997429,0.6084629809,0
12/07/16 01:00:00,2.799855,-18.1,0.287,8.54,-11.58963343,-13.64312931,0.6492491224,0.4
12/07/16 01:30:00,1.265,-26.72,0.287,8.54,-10.16867252,-14.15480753,0.456098862,1.2
12/07/16 02:00:00,1.052797,-26.4,0.286,8.27,-13.96945498,-12.1079059,0.5511201468,0.6
12/07/16 02:30:00,1.326218,-28.74,0.286,8.27,-14.83496571,-12.72183955,0.4136427603,0.1
12/07/16 03:00:00,1.43462,-30.78,0.293,7.852,-15.70886342,-11.72693048,0.292639968,0
12/07/16 03:30:00,1.370428,-30.94,0.293,7.852,-12.4458823,-14.09861297,0.3865049202,0
12/07/16 04:00:00,1.988533,-30.19,0.301,7.711,-9.296344338,-7.727331248,0.3754170849,0
12/07/16 04:30:00,1.862763,-20.76,0.301,7.711,-3.576992947,-2.495553276,0.3733360033,0
12/07/16 05:00:00,1.899681,-9.98,0.301,7.709,-0.2141328145,-0.2039349695,0.4013872346,0
12/07/16 05:30:00,2.122165,-4.297,0.301,7.709,-0.07046856604,-0.121685459,0.4031786749,0.7
12/07/16 06:00:00,1.449898,-3.957,0.301,7.781,-0.4393030411,-0.2451246499,0.4032701148,0.3
12/07/16 06:30:00,1.828294,-4.388,0.301,7.781,4.466326879,2.243800341,0.3551876144,0.2
12/07/16 07:00:00,1.704275,3.149,0.305,7.794,5.208067558,2.558578251,0.3007704978,0.3
12/07/16 07:30:00,1.715345,4.361,0.305,7.794,9.708961366,5.38049572,0.4112030655,0
12/07/16 08:00:00,2.36241,11.97,0.312,7.859,14.8882339,9.270613566,0.4207723156,0
12/07/16 08:30:00,2.461973,21.56,0.312,7.859,36.64158806,15.46772042,0.4442842833,0
