Time,ws,rad,VWC,T_2_Avg,LE,H,TKE,Precp
7/1/17 0:00,2.019257,-74.01,0.254,,-21.52828342,-55.91036613,0.3328019457,0
7/1/17 0:30,2.183706,-61.75,0.254,,-17.1610729,-47.52776957,0.6596972136,0
7/1/17 1:00,2.077993,-67.87,0.254,,-19.39974717,-51.00092273,0.5014660333,0
7/1/17 1:30,2.061083,-66.46,0.254,,-18.76384337,-49.60096194,0.319738923,0
7/1/17 2:00,1.243318,-60.96,0.254,,-16.9682599,-45.46116134,0.6288849397,0
7/1/17 2:30,0.9724045,-58.44,0.254,,-16.03031089,-43.44372628,0.1780619878,0
7/1/17 3:00,1.111087,-57.04,0.254,,-15.55539118,-42.16402782,0.4157502656,0
7/1/17 3:30,1.432316,-50.64,0.254,,-13.54749666,-37.55450826,0.2771717246,0
7/1/17 4:00,1.516092,-52.02,0.253,,-14.82795044,-37.43632716,0.3452110522,0
7/1/17 4:30,1.730978,-47.11,0.253,,-13.28357168,-33.98928005,0.3489813317,0
7/1/17 5:00,2.113735,-53.26,0.253,,-12.32526881,-40.90758923,0.5567157265,0
7/1/17 5:30,2.257171,-70.56,0.253,,-20.1925029,-49.71609016,0.7816231181,0
7/1/17 6:00,2.229902,-71.11,0.253,,-18.03785763,-51.49790894,0.7030517244,0
7/1/17 6:30,3.089265,-64.42,0.253,,-14.09158357,-48.15705998,0.8526231391,0
7/1/17 7:00,2.990939,-20.1,0.253,,-5.732595474,-12.41318372,0.7101423618,0
7/1/17 7:30,4.139172,30.29,0.253,,18.73652788,10.90206519,0.8081241011,0
7/1/17 8:00,4.02844,89,0.253,,56.79419911,26.28885456,0.8941507949,0
7/1/17 8:30,3.958052,153.4,0.253,,91.00914745,56.71818382,0.8769560364,0
7/1/17 9:00,4.561784,223.6,0.252,,137.4188775,79.95452461,0.8955554041,0
7/1/17 9:30,4.154374,288.4,0.252,,143.4057187,139.0925494,1.020442591,0
7/1/17 10:00,4.283561,333.6,0.252,,162.714175,163.1973302,1.287937962,0
7/1/17 10:30,4.022418,443,0.252,,196.1671245,232.4846282,1.055402364,0
7/1/17 11:00,2.663547,345,0.251,,171.9526737,150.5253572,0.8841665038,0
7/1/17 11:30,2.470979,619.7,0.251,,287.6395249,297.4258504,1.772507966,0
7/1/17 12:00,3.216171,562.2,0.251,,230.1529172,287.5745754,2.376807595,0
7/1/17 12:30,1.758008,592,0.251,,252.6167146,291.9135416,1.320534855,0
7/1/17 13:00,2.99693,487.9,0.25,,202.2133667,236.9399869,3.432691417,0
7/1/17 13:30,2.386634,379.1,0.25,,200.0406954,136.9648249,2.293787923,0
7/1/17 14:00,3.17284,708.7,0.249,,296.9313176,362.4940823,2.549729484,0
7/1/17 14:30,2.504118,554.9,0.249,,250.8295307,252.6710366,3.116901213,0
7/1/17 15:00,2.554736,247.3,0.248,,124.9216316,76.96201285,3.070247829,0
7/1/17 15:30,2.139466,486.2,0.248,,198.0426873,247.5696305,2.886563896,0
7/1/17 16:00,2.872308,653.1,0.248,,250.7125176,356.9443009,5.127055456,0
7/1/17 16:30,3.279759,528.3,0.248,,187.8287738,293.4453129,3.697369378,0
7/1/17 17:30,4.407519,177.8,0.247,,91.17286375,54.07662635,5.267628459,0
7/1/17 18:00,5.159644,281.3,0.247,,121.6445952,132.3290508,1.59657362,0
7/1/17 18:30,4.503426,75.6,0.247,,31.66893202,20.32859948,1.598037592,0
7/1/17 19:00,4.492862,74.49,0.247,,33.39550672,20.01033584,2.830929089,1.93
7/1/17 19:30,4.108456,-7.507,0.247,,-5.776288921,-18.04615185,2.282177316,0.1
7/1/17 20:00,3.323306,-32.21,0.247,,-17.16994808,-27.76555991,1.554907661,0.48
7/1/17 20:30,2.983379,-51.85,0.247,,-16.37930903,-46.24048931,1.369010873,0.17
7/1/17 21:00,3.509964,-69.07,0.258,,-22.51027019,-56.23465643,0.7975441824,0
7/1/17 21:30,0.9434848,-53.45,0.258,,-17.86681406,-44.38845624,0.2745155964,0
7/1/17 22:00,1.907921,-72.53,0.256,,-39.68774179,-40.54067193,2.120384842,0.6
7/1/17 22:30,3.377692,-38.99,0.256,,-11.64961636,-33.57501447,2.163942922,0.53
7/1/17 23:00,3.522148,-101.2,0.256,,-30.25709122,-75.87639926,4.723903365,0.77
7/1/17 23:30,5.822129,-59.56,0.256,,-17.54857538,-45.75220311,3.853269298,0
7/2/17 0:00,2.032682,-119.6,0.259,,-34.23103075,-88.09011968,0.6085116828,0
7/2/17 0:30,2.787196,-118.4,0.259,,-38.88555525,-80.63011643,0.9026978425,0
7/2/17 1:00,2.542598,-113.5,0.258,,-31.21865156,-81.60106083,0.7369175086,0
7/2/17 1:30,2.268417,-126.3,0.258,,-31.4660723,-92.71143036,0.6527589623,0
7/2/17 2:00,2.609081,-127.2,0.257,,-31.50910766,-92.32528984,0.9342793721,0
7/2/17 2:30,3.169416,-115.5,0.257,,-30.67252408,-80.45762106,1.366262524,0
7/2/17 3:00,3.116008,-122.3,0.256,,-37.79145589,-79.24300471,1.223605593,0
7/2/17 3:30,3.265854,-102.9,0.256,,-22.57738331,-74.43281231,1.23982139,0
7/2/17 4:00,2.704054,-88.2,0.256,,-38.41953835,-43.35608119,0.7942320605,0
7/2/17 4:30,1.888396,-88.1,0.256,,-20.59689672,-60.50947392,0.4021495431,0
7/2/17 5:00,2.365461,-89.4,0.256,,-43.00651714,-38.75470475,0.6312781482,0
7/2/17 5:30,2.549894,-89,0.256,,-18.88366564,-62.17395683,0.7110392893,0
7/2/17 6:00,2.243901,-73.45,0.255,,-18.3106651,-47.06641541,0.6239663883,0
7/2/17 6:30,2.648623,-65.12,0.255,,-15.94579378,-41.02548466,0.6295731845,0
7/2/17 7:00,1.823619,-15.89,0.255,,-2.022201547,-6.352565549,0.4331978733,0
7/2/17 7:30,2.068296,32.98,0.255,,22.72044293,14.95387042,0.4516393709,0
7/2/17 8:00,2.010049,99.5,0.255,,63.26477582,34.66503863,0.413182,0
7/2/17 8:30,3.036225,162.6,0.255,,92.60915326,67.98750655,1.301997648,0
7/2/17 9:00,3.803058,230.6,0.254,,122.3264288,105.4113454,0.9616864168,0
7/2/17 9:30,3.85617,304.1,0.254,,144.1648589,157.4779473,0.8130070389,0
7/2/17 10:00,4.547936,364.2,0.253,,186.7656361,173.7129152,0.862353119,0
7/2/17 10:30,3.759031,433,0.253,,195.2533223,227.472243,0.8872546373,0
