TIme,air_temp,H,LE,ws,TKE,VWC,rad
,277.933,-3.8318,20.5931,0.916215,0.351782,0.219,-58.84213
,278.224,-5.44141,-10.2854,1.37096,0.493031,0.219,-58.4698
,278.396,-7.60478,34.4773,1.55744,0.458617,0.219,-60.99316
,277.723,16.2553,-57.0563,2.88068,0.438085,0.218,-61.94635
,276.745,1.93647,-10.7195,4.23514,1.98795,0.218,-51.67622
,276.577,-1.63585,25.08,3.72729,2.34537,0.217,-44.33126
,276.398,0.765514,21.9577,1.94735,1.47553,0.217,-39.55271
,276.082,0.529612,22.8392,3.03576,1.15264,0.217,-47.02426
,276.085,-0.642015,28.7439,3.23702,1.48657,0.216,-35.30656
,276.138,0.843457,18.6666,1.81E+00,1.49721,0.216,-7.620167
,276.229,-0.52775,20.6403,1.00175,0.518537,0.216,-10.14559
,276.296,-2.05963,20.6556,8.91E-02,0.361449,0.216,1.204469
,276.466,0.989413,18.7577,0.593382,0.191331,0.216,8.212875
,276.83,5.41798,-35.0442,0.432865,0.127243,0.216,18.36059
,277.41,3.29354,16.1217,0.641615,9.91E-02,0.216,73.20357
,277.495,5.41896,23.4905,0.902762,0.124892,0.216,84.40889
,277.584,7.66004,28.4751,1.45178,0.314493,0.216,100.654
,277.704,10.2985,31.7162,0.895162,3.04E-01,0.216,77.21915
,277.65,11.984,12.6048,1.08188,0.238797,0.215,172.0118
,276.654,20.5019,-113.027,0.803087,0.290605,0.216,230.5408
8/17/16 11:30:00,282.866,50.5136,39.2828,1.04306,9.96642,0.216,178.537
8/17/16 12:00:00,283.118,41.3634,29.0423,0.848707,0.348193,0.216,154.15
8/17/16 12:30:00,284.049,109.398,83.581,1.37218,0.230569,0.217,441.3358
8/17/16 13:00:00,284.176,66.9659,51.2179,1.71312,0.800896,0.217,203.9529
8/17/16 13:30:00,283.859,54.9957,37.1569,1.99752,0.453382,0.217,106.5963
8/17/16 14:00:00,283.684,62.1335,42.0298,1.94584,0.323433,0.218,206.0853
8/17/16 14:30:00,284.191,88.6167,58.1427,1.88587,0.519131,0.218,307.411
8/17/16 15:00:00,284.79,114.973,70.0702,2.59132,0.724287,0.218,281.2432
8/17/16 15:30:00,285.084,149.349,86.4562,2.6987,0.655977,0.218,470.2149
8/17/16 16:00:00,284.178,104.505,53.5813,2.54477,1.17701,0.219,121.5646
8/17/16 16:30:00,283.325,46.9084,26.3755,2.05305,0.788561,0.219,87.38033
8/17/16 17:00:00,283.179,47.4941,19.8716,2.1532,0.552756,0.219,83.72238
8/17/16 17:30:00,281.658,26.7958,15.762,4.09577,1.08918,0.219,53.05966
8/17/16 18:00:00,281.215,16.8541,19.0971,3.62801,2.8333,0.218,24.96073
8/17/16 18:30:00,280.794,13.2663,14.9862,2.71305,1.77134,0.218,3.28421
8/17/16 19:00:00,280.713,7.65819,21.0505,1.4424,1.50936,0.217,0.5538311
8/17/16 19:30:00,280.607,7.22655,14.1736,2.10631,0.709412,0.217,-2.600388
8/17/16 20:00:00,280.29,7.07974,15.2493,2.51565,0.687982,0.217,-3.676635
8/17/16 20:30:00,279.933,3.79828,31.3917,2.39276,0.876334,0.216,-5.560523
8/17/16 21:00:00,279.266,3.7164,60.277,2.24062,0.442312,0.216,-5.277595
8/17/16 21:30:00,277.58,1.15057,32.6614,1.70358,0.567239,0.215,-4.31436
8/17/16 22:00:00,277.382,2.7587,4.38702,1.62283,0.72835,0.215,-4.192559
8/17/16 22:30:00,277.28,1.75146,19.3622,2.50345,0.597528,0.215,-4.208329
8/18/16 01:30:00,277.933,-3.8318,20.5931,0.916215,0.351782,0.213,-14.87509
8/18/16 02:00:00,278.224,-5.44141,-10.2854,1.37096,0.493031,0.213,-11.2735
8/18/16 02:30:00,278.396,-7.60478,34.4773,1.55744,0.458617,0.213,-10.55224
8/18/16 03:00:00,277.723,16.2553,-57.0563,2.88068,0.438085,0.213,-5.865348
8/18/16 03:30:00,276.745,1.93647,-10.7195,4.23514,1.98795,0.212,-8.773559
8/18/16 04:00:00,276.577,-1.63585,25.08,3.72729,2.34537,0.212,-8.656368
8/18/16 04:30:00,276.398,0.765514,21.9577,1.94735,1.47553,0.212,-7.99493
8/18/16 05:00:00,276.082,0.529612,22.8392,3.03576,1.15264,0.212,-7.824336
8/18/16 05:30:00,276.085,-0.642015,28.7439,3.23702,1.48657,0.212,-8.160132
8/18/16 06:00:00,276.138,0.843457,18.6666,1.81E+00,1.49721,0.211,-9.054731
8/18/16 06:30:00,276.229,-0.52775,20.6403,1.00175,0.518537,0.211,-8.808781
8/18/16 07:00:00,276.296,-2.05963,20.6556,8.91E-02,0.361449,0.211,-8.217503
8/18/16 07:30:00,276.466,0.989413,18.7577,0.593382,0.191331,0.211,-3.999321
8/18/16 08:00:00,276.83,5.41798,-35.0442,0.432865,0.127243,0.211,5.409496
8/18/16 08:30:00,277.41,3.29354,16.1217,0.641615,9.91E-02,0.211,19.05449
8/18/16 09:00:00,277.495,5.41896,23.4905,0.902762,0.124892,0.21,21.6202
8/18/16 09:30:00,277.584,7.66004,28.4751,1.45178,0.314493,0.21,32.4687
8/18/16 10:00:00,277.704,10.2985,31.7162,0.895162,3.04E-01,0.21,56.36395
8/18/16 10:30:00,277.65,11.984,12.6048,1.08188,0.238797,0.21,29.08373
8/18/16 11:00:00,276.654,20.5019,-113.027,0.803087,0.290605,0.21,59.71016
8/18/16 11:30:00,275.597,12.4379,65.912,1.41924,0.349502,0.21,55.86046
8/18/16 12:00:00,275.797,11.2357,46.8927,1.81088,0.686177,0.21,54.81544
8/18/16 12:30:00,275.687,9.20235,55.9591,1.63014,1.02965,0.21,43.04301
8/18/16 13:00:00,275.836,8.57477,22.9314,1.72142,1.07647,0.21,68.39645
,283.859,54.9957,37.1569,1.99752,0.453382,0.21,53.63698
,283.684,62.1335,42.0298,1.94584,0.323433,0.21,78.03616
,284.191,88.6167,58.1427,1.88587,0.519131,0.21,112.1556
,284.79,114.973,70.0702,2.59132,0.724287,0.21,77.93848
,285.084,149.349,86.4562,2.6987,0.655977,0.211,180.9767
,284.178,104.505,53.5813,2.54477,1.17701,0.211,194.4146
,283.325,46.9084,26.3755,2.05305,0.788561,0.211,477.8909
,283.179,47.4941,19.8716,2.1532,0.552756,0.212,388.4726
8/18/16 17:30:00,278.569,31.6724,88.901,1.43345,1.07651,0.213,130.3963
8/18/16 18:00:00,278.5,41.4522,66.0634,1.03784,0.974616,0.213,375.5292
8/18/16 18:30:00,278.439,19.3487,58.0331,1.08428,0.74111,0.213,73.09335
8/18/16 19:00:00,278.445,31.9694,74.6519,0.510587,0.908609,0.213,33.77323
8/18/16 19:30:00,278.456,10.0204,39.329,1.21087,1.08993,0.213,25.83254
8/18/16 20:00:00,278.631,12.7146,-0.540811,1.40015,0.63103,0.213,-12.35682
8/18/16 20:30:00,278.916,-2.33747,18.5752,1.07769,0.781334,0.213,-7.910521
8/18/16 21:00:00,278.922,-6.49048,19.4814,0.867732,0.609291,0.212,-24.32426
8/18/16 21:30:00,278.942,-5.60768,22.2171,0.498624,0.499358,0.212,-30.79845
8/18/16 22:00:00,278.851,-5.64654,12.5516,0.643654,0.406733,0.212,-34.49596
8/18/16 22:30:00,278.736,-3.33049,9.76037,0.548607,0.361941,0.212,-22.50926
8/18/16 23:00:00,278.692,-5.02789,7.54084,0.540704,0.283323,0.212,-34.93897
8/18/16 23:30:00,278.39,-12.1267,15.6743,1.13781,0.656891,0.212,-31.77355
8/19/16 00:00:00,277.596,-6.31579,15.7748,1.56021,1.60659,0.211,-39.27552
8/19/16 00:30:00,277.782,-5.37734,12.9023,0.488068,1.30915,0.211,-20.00761
8/19/16 01:00:00,277.716,-3.37661,5.36758,0.324621,0.95307,0.211,-21.49303
8/19/16 01:30:00,277.407,-12.8284,9.14907,1.16732,0.101585,0.211,-44.83226
8/19/16 02:00:00,277.094,-5.77683,2.17449,0.598075,0.605718,0.211,-40.24844
8/19/16 02:30:00,277.232,-2.69964,1.92441,0.453595,0.470986,0.21,-51.94674
8/19/16 03:00:00,277.246,-4.80963,2.47018,1.50881,0.228791,0.21,-60.26638
8/19/16 03:30:00,277.297,-7.46681,0.475386,1.43297,0.211903,0.21,-76.7906
8/19/16 04:00:00,277.279,-5.63816,-2.23803,0.690257,0.190218,0.209,-80.3188
8/19/16 07:30:00,276.969,0.510356,10.1407,0.887109,0.148217,0.207,-7.431226
8/19/16 08:00:00,277.413,-2.44388,5.67432,0.910433,0.141856,0.207,56.35823
8/19/16 08:30:00,278.182,21.5315,27.3685,0.821264,0.234989,0.207,125.6117
8/19/16 09:00:00,278.305,44.8474,53.6705,1.4884,0.190596,0.207,200.9947
8/19/16 09:30:00,278.567,28.8118,39.2204,0.990196,0.861032,0.207,153.4478
8/19/16 10:00:00,278.973,63.2401,67.8504,1.16471,0.827286,0.208,313.0151
8/19/16 10:30:00,279.744,75.763,71.7157,1.79191,0.575106,0.208,363.735
8/19/16 11:00:00,280.329,124.142,118.434,3.02488,0.998693,0.208,447.7436
8/19/16 11:30:00,281.774,130.943,80.095,3.35151,1.90532,0.209,490.1571
8/19/16 12:00:00,282.038,145.868,158.011,4.27442,3.16719,0.21,546.6683
8/19/16 12:30:00,282.585,122.77,104.304,4.25653,3.95922,0.21,572.2465
8/19/16 13:00:00,283.548,166.819,90.6728,3.03103,2.53766,0.212,600.2665
8/19/16 13:30:00,284.208,160.894,127.378,1.26593,3.74159,0.213,473.17
8/19/16 14:00:00,284.388,140.088,120.029,1.57986,2.29445,0.214,560.2953
8/19/16 14:30:00,284.994,135.101,135.427,0.421352,2.61018,0.215,546.3975
8/19/16 15:00:00,285.115,151.777,136.563,0.69042,3.85113,0.216,533.6286
8/19/16 15:30:00,285.274,202.039,176.77,2.13708,2.5562,0.216,452.0239
8/19/16 16:00:00,285.533,146.409,143.013,0.437818,5.68298,0.217,417.3513
8/19/16 16:30:00,285.594,124.149,119.995,0.560304,2.15505,0.218,388.2603
8/19/16 17:00:00,285.43,166.837,124.55,3.72802,2.55725,0.218,337.7596
8/19/16 17:30:00,285.207,134.553,87.788,5.39974,5.2671,0.218,332.4626
8/19/16 18:00:00,285.421,113.429,87.4816,3.61925,8.53245,0.218,229.2816
8/19/16 18:30:00,285.224,103.96,79.6935,5.51203,6.52353,0.217,176.4965
8/19/16 19:00:00,285.097,69.8779,63.7861,6.98423,8.19041,0.217,77.13628
8/19/16 22:30:00,284.212,-32.1028,22.1356,3.20895,7.53283,0.212,-50.96301
8/19/16 23:00:00,284.082,-23.548,16.3398,2.19927,3.11729,0.211,-53.1569
8/19/16 23:30:00,283.631,-24.4032,11.2445,2.83625,1.36876,0.211,-62.69201
8/20/16 01:30:00,283.468,-48.537,21.697,5.93413,2.17974,0.209,-75.60254
8/20/16 02:00:00,283.556,-45.9228,20.8226,5.09174,1.9807,0.209,-76.92851
8/20/16 02:30:00,283.241,-34.8947,13.3034,3.36039,1.86023,0.209,-74.74547
8/20/16 03:00:00,282.806,-16.2243,4.3171,1.71866,1.9807,0.208,-71.94095
8/20/16 03:30:00,282.602,-31.2417,9.43745,2.52377,1.86034,0.208,-72.95399
8/20/16 04:00:00,282.877,-37.0646,13.234,3.68141,1.88317,0.207,-74.40451
