Time,H,LE,ws,TKE,VWC,rad
7/01/17 01:00:00,-20.7113,3.92655,2.93572,0.924562,0.23,-52.4733
7/01/17 01:30:00,-30.2767,8.90587,3.43714,0.613497,0.23,-49.2102
7/01/17 02:00:00,-25.3865,5.6482,3.03481,0.373899,0.23,-52.42809
7/01/17 02:30:00,-29.907,7.5122,2.96449,0.523595,0.229,-52.81316
7/01/17 03:00:00,-26.7604,5.99897,2.14672,0.558417,0.229,-43.4124
7/01/17 03:30:00,-20.0193,6.56916,2.15739,0.38916,0.229,-39.82882
7/01/17 04:00:00,-17.8213,4.46565,1.88817,0.377867,0.229,-39.17372
7/01/17 04:30:00,-26.0555,6.71144,2.20462,0.690558,0.229,-36.75005
7/01/17 05:00:00,-10.6302,2.75161,1.02252,0.434808,0.228,-40.5668
7/01/17 05:30:00,-9.72418,1.13934,1.3569,0.303734,0.228,-58.33545
7/01/17 06:00:00,-23.0542,2.25053,1.93197,0.677211,0.228,-54.80199
7/01/17 07:00:00,-4.69718,5.39851,0.837147,0.229858,0.228,34.12907
7/01/17 08:00:00,13.3348,24.793,1.97358,0.637765,0.227,154.2451
7/01/17 08:30:00,53.3394,41.4499,2.89545,1.16193,0.227,227.3602
7/01/17 09:00:00,73.5379,84.4157,3.13246,1.57278,0.227,292.8045
7/01/17 09:30:00,109.328,98.1616,4.37043,1.67271,0.227,318.0737
7/01/17 10:00:00,91.8966,85.0397,2.75436,1.90321,0.227,467.8203
7/01/17 10:30:00,135.982,129.845,1.53309,1.28871,0.228,363.8765
7/01/17 11:00:00,84.5137,83.2025,2.26362,1.36423,0.228,502.2781
7/01/17 11:30:00,101.693,105.232,1.72618,2.06745,0.229,478.284
7/01/17 12:00:00,166.184,181.26,2.12811,3.30143,0.229,614.9337
7/01/17 12:30:00,179.3,147.13,1.08038,4.37095,0.229,460.3268
7/01/17 13:00:00,142.911,145.153,1.30211,2.61231,0.23,263.0854
