Time,H,LE,ws,wd,air_temp,TKE,rad,VWC_5_avg
,,,,,,,,
18/07/201600:00:00,-5.713966465,-4.149061424,0.56883285,137.5740102,276.288743,0.046648572,486.8691,0.393
18/07/201600:30:00,-5.422835588,-7.667836916,0.715234842,138.448935,276.0964779,0.063785074,578.2903,0.393
18/07/201601:00:00,-14.22879875,-19.87992312,0.804503897,136.4693548,275.0754442,0.097960096,278.6031,0.392
18/07/201601:30:00,-8.010837294,-74.45542877,0.640711906,148.9216078,275.6923875,0.128479278,522.2712,0.391
18/07/201602:00:00,-27.41439277,-52.45640952,0.93790816,152.8917331,275.7812394,0.144937839,370.1583,0.391
18/07/201602:30:00,-9.398649853,-68.36559086,0.69647962,145.6151444,275.2978047,0.0784163,551.7139,0.391
18/07/201603:00:00,-6.868013948,9.231280876,0.753575672,148.5581894,274.8586527,0.069536198,469.9695,0.391
18/07/201603:30:00,-5.227175397,-46.29789555,0.624716931,143.943733,271.2232549,0.049277164,289.1841,0.389
18/07/201604:00:00,-9.578966711,-45.94,0.773122087,145.3218354,269.7746247,0.088509337,518.2253,0.389
18/07/201604:30:00,-6.914127721,-17.94286522,0.706703707,143.6766015,272.684194,0.04099726,367.1846,0.389
18/07/201605:00:00,-9.80398613,-25.7,0.910076984,145.1947971,272.5236859,0.13510871,455.4298,0.388
18/07/201605:30:00,3.677290536,-17.15233399,0.717385903,154.5832847,270.5000912,0.133845381,355.779,0.388
18/07/201606:00:00,-5.217273387,18.09042494,0.832557425,149.55342,273.6467801,0.136585873,199.4516,0.388
18/07/201606:30:00,-24.74710019,63.80788827,0.871962855,144.1657601,274.4413582,0.142357622,122.3764,0.387
18/07/201607:00:00,-24.64280568,83.47817499,0.775583697,130.7852744,276.5328064,0.157937688,51.44753,0.387
18/07/201607:30:00,-3.927284334,38.40018721,0.429378512,89.05974111,280.1798486,0.331901034,-10.2011,0.386
18/07/201608:00:00,12.41185389,53.51909948,0.892028851,135.8481826,285.8455815,0.879605848,46.23779,0.385
18/07/201608:30:00,-16.84334527,61.08891862,1.155417124,117.3871205,281.1133882,0.9,8.683605,0.384
