Time,H,LE,q,ws,wd,air_temp,TKE,rad,VWC
7/01/17 00:30:00,-42.6337,1.94E+01,1.39E-02,0.895544,115.047,281.92,0.182577,-19.38216,0.341
7/01/17 01:00:00,-52.5624,1.59E+01,1.38E-02,1.21144,118.909,282.091,0.272189,-35.96032,0.164
7/01/17 01:30:00,-43.1849,9.69E+00,1.38E-02,1.00473,117.967,281.808,0.247109,-40.89558,0.164
7/01/17 02:00:00,-45.9832,8.87E+00,1.4E-02,0.931084,131.206,280.906,0.205772,-35.03687,0.165
7/01/17 02:30:00,-18.7039,3.98E+00,1.39E-02,0.817831,126.2,280.577,0.132198,-38.1272,0.165
7/01/17 03:00:00,-22.3025,6.36E+00,1.39E-02,0.783989,129.27,280.176,0.124804,-37.07958,0.165
7/01/17 03:30:00,-46.894,1.7E+01,1.38E-02,0.953281,123.81,280.421,0.246717,-32.39349,0.165
7/01/17 04:00:00,-33.4054,1.45E+01,1.38E-02,0.90463,128.241,280.104,0.158851,-30.13286,0.165
7/01/17 04:30:00,-15.527,9.89E+00,1.4E-02,0.836489,124.263,2.8E+02,9.02E-02,-31.17472,0.165
7/01/17 05:00:00,-22.1989,1.38E+01,1.4E-02,1.00004,121.27,280.386,0.143327,-26.05778,0.165
7/01/17 05:30:00,-25.5401,7.94E+00,1.37E-02,1.01197,114.722,280.64,0.121807,-35.24701,0.165
7/01/17 06:00:00,-43.0303,6.35E-01,1.37E-02,1.03741,124.031,279.304,0.23334,-50.67569,0.165
7/01/17 06:30:00,-26.4984,-5.76E+00,1.38E-02,1.05534,133.001,278.66,0.195797,-45.55589,0.165
7/01/17 07:00:00,-18.4287,3.81E+00,1.41E-02,0.939451,128.068,280.075,0.148104,-41.87645,0.165
7/01/17 07:30:00,-51.6699,1.75E+01,1.4E-02,0.958951,94.0666,283.739,0.318417,-30.24276,0.165
7/01/17 08:00:00,-11.1115,3.84E+01,1.42E-02,1.04464,82.2594,285.425,0.506444,55.28642,0.165
7/01/17 08:30:00,12.4782,4E+01,1.43E-02,0.985461,92.5113,285.962,0.683359,112.4611,0.165
7/01/17 09:00:00,58.1213,7.56E+01,1.44E-02,0.940609,112.474,286.685,0.76341,175.7807,0.165
7/01/17 09:30:00,47.0329,7.88E+01,1.42E-02,1.33812,117.899,287.181,1.20531,245.1847,0.165
7/01/17 10:00:00,76.5246,1.19E+02,1.43E-02,1.29491,92.3616,287.774,0.73556,302.2828,0.165
7/01/17 10:30:00,37.5902,1.18E+02,1.42E-02,1.23288,112.116,288.172,1.16333,348.6022,0.166
7/01/17 11:00:00,49.0538,8.95E+01,1.38E-02,0.446612,188.926,288.363,1.4408,301.7056,0.166
7/01/17 11:30:00,107.126,1.61E+02,1.4E-02,0.449417,248.266,289.296,1.18434,339.8596,0.166
7/01/17 12:00:00,110.972,1.71E+02,1.37E-02,1.48559,209.217,289.163,1.50297,609.4214,0.166
7/01/17 12:30:00,139.809,1.97E+02,1.37E-02,0.833757,184.406,289.982,1.59172,464.5337,0.166
7/01/17 13:30:00,137.336,1.97E+02,1.34E-02,1.3114,268.607,290.283,1.37661,537.5544,0.166
7/01/17 14:00:00,162.144,2.21E+02,1.32E-02,0.300585,148.788,290.753,1.8826,291.0962,0.166
7/01/17 14:30:00,78.9781,1.48E+02,1.31E-02,0.217324,302.625,290.545,1.28856,543.7648,0.166
7/01/17 15:00:00,37.8166,9.64E+01,1.34E-02,0.291085,320.989,290.328,0.822192,754.9579,0.165
7/01/17 15:30:00,169.492,2.22E+02,1.35E-02,1.24012,237.553,290.88,2.26507,254.9978,0.165
7/01/17 16:30:00,99.8909,1.53E+02,1.32E-02,0.457222,326.537,290.511,2.5382,203.92,0.165
7/01/17 18:00:00,48.7721,1.23E+02,1.68E-02,2.01185,336.806,285.58,0.956152,657.3943,0.164
7/01/17 18:30:00,25.7852,4.77E+01,1.67E-02,1.16706,307.429,284.464,0.689412,314.2811,0.164
7/01/17 19:00:00,36.8239,5.47E+01,1.65E-02,1.7745,298.209,284.165,0.951386,170.1537,0.166
7/03/17 00:30:00,-45.2541,14.1123,1.51E-02,0.936715,119.143,282.369,0.390523,98.82343,0.166
7/03/17 01:00:00,-69.1137,21.2256,1.49E-02,0.906292,131.55,282.559,0.485459,24.05805,0.165
7/03/17 01:30:00,-89.7871,28.2818,1.47E-02,0.897597,115.86,282.75,0.412518,-50.80963,0.187
7/03/17 02:00:00,-54.6931,11.856,1.45E-02,0.819144,118.358,283.461,0.376163,-59.26465,0.187
7/03/17 02:30:00,-94.1691,28.0299,1.45E-02,0.538752,112.462,283.387,0.744131,-54.87629,0.186
7/03/17 03:30:00,-68.2715,20.9212,1.43E-02,0.587603,106.387,283.291,0.585428,-58.44162,0.186
7/03/17 04:00:00,-107.68,28.508,1.43E-02,0.389918,104.326,283.206,0.608454,-59.01412,0.186
7/03/17 04:30:00,-70.8908,16.4459,1.43E-02,0.373763,93.3776,283.254,0.715646,-57.18726,0.186
7/03/17 05:30:00,-66.1058,17.3459,1.44E-02,0.692272,117.131,283.089,0.719509,-59.49196,0.186
7/03/17 06:00:00,-80.4984,13.6361,1.45E-02,0.454077,116.457,282.63,0.78254,-59.41975,0.186
7/03/17 06:30:00,-45.9482,13.3492,1.48E-02,0.738007,106.898,282.232,0.626794,-57.08662,0.186
7/03/17 07:00:00,-41.7076,19.8242,1.5E-02,0.758653,83.7086,282.842,0.550976,-47.04818,0.187
7/03/17 08:00:00,-16.8567,80.5872,1.47E-02,0.642018,290.871,286.041,1.96756,-41.3474,0.187
7/03/17 08:30:00,31.468,86.2832,1.46E-02,0.532354,60.0915,286.512,1.89364,-25.40514,0.186
7/03/17 09:00:00,28.1708,81.7909,1.48E-02,0.65008,322.001,286.811,1.90681,169.8515,0.186
7/03/17 09:30:00,39.9744,141.353,1.48E-02,0.680422,280.607,286.482,3.03375,246.5064,0.186
7/03/17 10:00:00,30.7615,95.1392,1.48E-02,1.5274,224.469,286.599,1.85731,353.8002,0.186
7/03/17 10:30:00,52.2107,92.7423,1.44E-02,0.634691,352.449,287.19,4.2288,219.3314,0.186
7/03/17 11:00:00,18.4344,110.846,1.44E-02,0.141521,0.704404,287.014,1.67889,237.4298,0.186
7/03/17 11:30:00,30.463,99.7832,1.41E-02,1.09048,279.106,287.385,1.78944,340.7601,0.186
7/03/17 12:00:00,16.783,91.5038,1.39E-02,0.38448,297.023,287.657,1.47742,202.1283,0.186
7/03/17 12:30:00,60.5044,188.893,1.36E-02,1.01491,269.488,288.151,2.15394,237.7635,0.185
7/03/17 13:00:00,114.778,215.312,1.35E-02,1.08729,293.086,288.825,2.54876,210.364,0.184
7/03/17 13:30:00,11.3131,111.647,1.35E-02,1.36776,319.727,288.298,1.75918,462.4247,0.184
7/03/17 14:00:00,39.3138,153.774,1.33E-02,1.60362,263.341,288.592,1.97424,372.8157,0.183
7/03/17 14:30:00,110.602,200.766,1.35E-02,0.970964,283.156,289.501,1.88741,131.1292,0.183
7/03/17 15:00:00,116.759,239.368,1.37E-02,0.667969,297.952,289.691,2.23438,287.2459,0.182
7/03/17 15:30:00,94.9244,205.661,1.31E-02,1.40067,289.485,289.445,3.24736,481.4571,0.181
7/03/17 16:30:00,87.4929,161.235,1.26E-02,0.596106,338.939,289.996,2.04978,401.1119,0.181
7/03/17 17:00:00,108.851,212.103,1.18E-02,1.44709,313.828,290.049,2.16112,334.6462,0.181
7/03/17 17:30:00,121.455,267.042,1.15E-02,1.14138,288.737,289.925,2.52627,525.8123,0.18
7/03/17 18:00:00,66.4847,224.724,1.11E-02,0.335882,349.07,289.638,3.83866,528.9056,0.179
7/03/17 18:30:00,75.742,162.65,1.13E-02,1.62377,286.099,289.481,1.21552,382.9671,0.179
7/03/17 19:00:00,67.9467,167.287,1.13E-02,1.66512,291.757,288.849,1.62943,339.0344,0.178
7/03/17 19:30:00,45.2639,148.388,1.15E-02,0.982438,290.984,288.424,1.37868,283.4904,0.177
7/03/17 20:00:00,-11.7741,102.288,1.16E-02,0.521262,287.133,287.384,1.62885,229.4755,0.176
7/03/17 20:30:00,-83.3619,61.6376,1.17E-02,1.09087,109.036,286.395,1.79293,159.0931,0.175
7/03/17 21:00:00,-60.4187,36.5108,1.18E-02,0.983912,119.226,286.086,1.82388,-30.65326,0.174
7/03/17 21:30:00,-27.8809,13.2154,1.21E-02,0.602203,97.4717,285.019,0.781693,-65.162,0.174
7/03/17 22:00:00,-17.3789,4.86654,1.24E-02,0.375383,66.1975,283.838,0.729369,-70.14963,0.173
7/03/17 22:30:00,-69.7069,39.1131,1.27E-02,0.5698,120.802,282.128,0.536882,-70.37244,0.173
7/03/17 23:00:00,-79.9068,38.2043,1.26E-02,0.740425,114.774,281.931,0.512194,-76.26,0.173
7/03/17 23:30:00,-81.4159,37.2781,1.26E-02,0.797936,119.567,281.69,0.55201,-75.29356,0.172
7/04/17 00:00:00,-93.362,34.0913,1.24E-02,1.05713,135.955,282.534,0.841347,-73.57895,0.172
7/04/17 00:30:00,-82.0066,32.3386,1.24E-02,0.929646,130.934,282.984,1.00461,-73.32721,0.172
7/04/17 01:00:00,-48.4189,18.5309,1.24E-02,0.948927,130.185,282.217,1.21365,-77.59,0.171
7/04/17 01:30:00,-107.078,42.7391,1.24E-02,0.874561,110.952,282.627,0.931173,-77.80388,0.171
7/04/17 02:00:00,-97.0851,32.9387,1.24E-02,0.881706,115.428,282.506,1.52671,-72.54609,0.171
7/04/17 02:30:00,-150.72,46.3033,1.27E-02,0.585698,105.43,280.216,0.900996,-72.84478,0.171
7/04/17 03:00:00,-40.3475,6.70688,1.29E-02,0.73359,120.523,278.369,0.520343,-74.36866,0.171
7/04/17 03:30:00,-139.004,35.8742,1.29E-02,0.797391,116.897,278.379,0.4248,-67.868,0.171
7/04/17 04:00:00,-73.2218,18.9956,1.31E-02,0.892215,117.479,276.913,0.257307,-66.88045,0.17
7/04/17 04:30:00,-74.6114,17.3057,1.31E-02,0.961373,121.387,276.478,0.246686,-69.3774,0.17
7/04/17 05:00:00,-28.8747,6.79612,1.32E-02,0.84354,135.725,275.715,0.145338,-64.63968,0.17
7/04/17 05:30:00,-24.3509,4.79867,1.31E-02,0.847255,126.145,275.784,0.132619,-65.01382,0.17
7/04/17 06:00:00,-21.3599,3.27732,1.32E-02,0.880874,132.547,275.33,0.112913,-64.42807,0.17
7/04/17 06:30:00,-14.764,2.85E-03,1.33E-02,0.88245,121.064,275.993,0.121515,-62.58768,0.17
7/04/17 07:00:00,-75.7279,29.7885,1.32E-02,0.70678,81.7185,278.564,0.209692,-55.90849,0.17
7/04/17 07:30:00,-71.4001,42.5553,1.29E-02,0.323543,9.72437,281.247,0.664043,-47.87177,0.17
7/04/17 08:30:00,1.69487,45.4296,1.28E-02,0.801163,353.24,283.231,0.582478,-40.31681,0.17
7/04/17 09:00:00,19.9403,78.6131,1.26E-02,0.333012,288.317,284.225,1.12222,40.1964,0.17
7/04/17 09:30:00,41.1738,95.5748,1.27E-02,0.55043,305.245,284.881,0.948921,166.909,0.17
7/04/17 10:00:00,65.1924,123.038,1.27E-02,0.612073,248.075,285.241,1.7404,236.1087,0.17
7/04/17 10:30:00,84.6293,138.119,1.27E-02,0.689715,235.786,285.668,2.06729,302.4595,0.17
7/04/17 11:00:00,107.105,147.93,1.25E-02,1.05456,273.941,285.934,3.04171,373.131,0.17
7/04/17 11:30:00,144.54,204.239,1.24E-02,0.821075,263.35,286.244,3.96232,434.5469,0.17
7/04/17 12:00:00,118.142,208.839,1.24E-02,1.15076,205.061,286.862,3.02068,494.3343,0.17
7/04/17 12:30:00,113.317,153.056,1.24E-02,1.28986,205.975,287.469,3.42647,532.5918,0.17
7/04/17 13:00:00,125.031,190.948,1.23E-02,0.628966,204.983,287.661,3.9504,571.3416,0.17
7/04/17 13:30:00,121.591,160.429,1.23E-02,0.196254,29.3823,288.008,3.40169,609.5933,0.17
7/04/17 14:00:00,191.598,251.887,1.23E-02,1.20259,257.806,288.474,2.88856,627.064,0.17
7/04/17 14:30:00,187.864,227.225,1.24E-02,1.98795,255.829,288.802,3.32146,655.5997,0.17
7/04/17 15:00:00,192.303,263.115,1.27E-02,2.01055,265.174,289.075,2.91545,650.4694,0.169
7/04/17 15:30:00,114.702,164.648,1.28E-02,1.95465,272.362,289.027,3.09666,652.5084,0.169
7/04/17 16:00:00,168.925,262.93,1.28E-02,1.41935,314.374,289.531,2.23839,639.1841,0.169
7/04/17 16:30:00,102.945,186.566,1.28E-02,1.73115,281.783,289.29,1.95766,448.7386,0.168
7/04/17 17:00:00,32.2259,152.39,1.28E-02,1.21335,292.959,288.936,2.29083,569.1251,0.168
7/04/17 17:30:00,48.0378,158.522,1.28E-02,0.537409,177.44,289.391,2.49973,368.3138,0.167
7/04/17 18:00:00,74.6699,163.27,1.28E-02,0.485154,147.965,289.806,1.95602,240.4673,0.167
7/04/17 18:30:00,49.5726,124.371,1.29E-02,1.01398,273.021,289.911,0.69952,368.1974,0.166
7/04/17 19:00:00,12.2071,131.423,1.3E-02,0.782649,327.337,289.439,0.711099,396.0375,0.166
7/04/17 19:30:00,6.58689,120.743,1.3E-02,0.659115,235.635,288.951,0.860661,222.3742,0.165
